state,year,annual_median_wage,poverty_rate,opioid_overdose,Median_Rent,overall_homeless_per_capita,drug_overdose_deaths_per_capita,total_vacant_units_per_capita,totalsubsidized_units_per_capita
Alabama,2011,29850,0.1914,176,599,0.0012,0.0001,0.0704,0.0198
Alaska,2011,42960,0.1031,66,1115,0.0029,0.0001,0.0746,0.0108
Arizona,2011,34110,0.1914,562,831,0.0016,0.0002,0.0785,0.0062
Arkansas,2011,28460,0.1869,169,570,0.0012,0.0001,0.0669,0.0181
California,2011,38530,0.1665,1938,1089,0.0033,0.0001,0.0333,0.0129
Colorado,2011,37070,0.1335,418,800,0.003,0.0002,0.0487,0.0118
Connecticut,2011,41320,0.1092,209,1141,0.0012,0.0001,0.0397,0.0242
Delaware,2011,36180,0.1228,113,880,0.0011,0.0002,0.0844,0.0145
Florida,2011,30770,0.1706,1576,834,0.003,0.0002,0.1008,0.0105
Georgia,2011,31720,0.1914,535,641,0.0021,0.0001,0.0621,0.0142
Hawaii,2011,36270,0.1221,77,1460,0.0045,0.0001,0.0535,0.0168
Idaho,2011,30170,0.1544,77,662,0.0014,0.0001,0.0595,0.0079
Illinois,2011,35260,0.1472,907,649,0.0011,0.0001,0.0434,0.0183
Indiana,2011,31280,0.1574,356,668,0.001,0.0001,0.0512,0.0147
Iowa,2011,31180,0.128,172,590,0.001,0.0001,0.0404,0.0135
Kansas,2011,30820,0.1417,118,610,0.0009,0.0001,0.0474,0.0126
Kentucky,2011,30420,0.1956,669,579,0.0014,0.0002,0.0596,0.019
Louisiana,2011,30730,0.2021,116,681,0.002,0.0001,0.0605,0.0212
Maine,2011,32510,0.1425,85,737,0.0018,0.0001,0.1307,0.0205
Maryland,2011,40470,0.1012,546,1094,0.0017,0.0001,0.044,0.0183
Massachusetts,2011,42730,0.117,655,1119,0.0025,0.0001,0.0434,0.0297
Michigan,2011,34260,0.1703,714,651,0.0013,0.0001,0.0762,0.0159
Minnesota,2011,36470,0.1161,286,666,0.0014,0.0001,0.0482,0.0165
Mississippi,2011,27270,0.2259,79,630,0.0008,0.0001,0.0674,0.0189
Missouri,2011,31170,0.1588,595,596,0.0015,0.0002,0.0636,0.0156
Montana,2011,29390,0.1401,63,636,0.0018,0.0001,0.0852,0.0144
